main_category|sub_category|channel|description
knowledge|human interest/society|EEN|DE TIJD VAN ONS LEVEN
sport|football|Canvas|VB. C3 UEFA SCHIFT - OLYMPIACOS/ANTWERPEN
sport|football|PLAY4|VB. C3 UEFA SCHIFT - RAPID WIEN/GENK
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/PARIS-ST-G.
sport|cycling (road)|EEN|WIELRENNEN. EK. TRENTINO H.
fiction|action|VTM|CASINO ROYALE
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/KV.MECHELEN
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/UNION-ST-GERMAIN
sport|cycling (cross)|VTM|VELDRIJDEN. LOKEREN H.
sport|cycling (road)|EEN|WIELRENNEN. EK. TRENTINO D.
knowledge|nature/environment|EEN|WILD UGANDA
fiction|popular drama/comedy|EEN|JERRY MAGUIRE
sport|cycling (road)|Canvas|WIELRENNEN. EK. TRENTINO H.
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/OOSTENDE
fiction|psychologic drama/melodrama|Canvas|GRACE A DIEU
information|special event|Canvas|9/11 LIFE UNDER ATTACK
sport|football|VTM|VB. WK. KWALIF - WIT-RUSLAND/BELGIE
knowledge|human interest/society|EEN|DIANA
sport|athletics (track/piste)|EEN|ATLETIEK. ZURICH (S.)
knowledge|humanities/history|Canvas|KINDEREN VAN DE MIGRATIE - EEN NIEUW LEVEN
sport|football|VTM|VB. WK. KWALIF - BELGIE/TSJECHIE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 7 NAMUR>GERAARDSBERGEN
information|special event|EEN|OS. PARALYMPICS SLUITINGSCEREMONIE
sport|formula 1|EEN|F1. WK. GP. NEDERLAND
fiction|science fiction|PLAY4|GEOSTORM
information|special event|EEN|OS. PARALYMPICS (S.)
knowledge|humanities/history|Canvas|TOUTANKHAMON, LE TRESOR REDECOUVERT
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 20 SANXENXO>MOS. CASTRO DE HERVILLE
fiction|popular drama/comedy|EEN|WE BOUGHT A ZOO
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 6 OTTIGNIES-LOUVAIN-LA-NEUVE>HOUFFAL
knowledge|nature/environment|EEN|CARAIBES SAUVAGES, LES RIVAGES DE LA BIODIVERSITE
fiction|popular drama/comedy|VTM2|MAMMA MIA! HERE WE GO AGAIN
fiction|police|PLAY6|NAVY NCIS
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 5 RIEMST>BILZEN
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 19 TAPIA>MONFORTE DE LEMOS
sport|football|VTM|VB. WK. KWALIF - ESTLAND/BELGIE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 18 SALAS>ALTU D'EL GAMONITEIRU
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 4 AALTER>ARDOOIE
fiction|police|PLAY4|NAVY NCIS
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 17 UNQUERA>LAGOS DE COVADONGA
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 3 ESSEN>HOOGERHEIDE
entertainment|game|PLAY4|HET RAD
knowledge|humanities/history|Canvas|LES RESISTANTS DE MAUTHAUSEN
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 16 LAREDO>SANTA CRUZ DE BEZANA
knowledge|humanities/history|Canvas|KINDEREN VAN DE MIGRATIE - HET BELOOFDE LAND
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN DE BENELUX - RIT 1 SURHUISTERVEEN>DOKKUM
fiction|thriller|VTM|RED LIGHT
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 2001
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 15 NAVALMORAL DE LA MATA>EL BARRACO
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/ANDERLECHT
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENT/CL.BRUGGE
entertainment|variety|VTM|DE OMGEKEERDE WERELD
knowledge|nature/environment|EEN|ANIMAL AMBULANCE
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 14 DON BENITO>PICO VILLUERCAS
fiction|police|Canvas|DEN DOENDE DETEKTIVEN
fiction|popular drama/comedy|PLAY5|THE BLIND SIDE
fiction|thriller|EEN|HONOUR
entertainment|variety|VTM|K3 ZOEKT K3
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 13 BELMEZ>VILLANUEVA DE LA SERENA
lifestyle|show business/variety/stars|EEN|22 KIDS AND COUNTING
entertainment|love/dating|PLAY5|TEMPTATION ISLAND, LOVE OR LEAVE
sport|cycling (road)|EEN|WIELRENNEN. OVERIJSE (S.)
information|current affair|VTM|BORDER SECURITY (AUS)
fiction|action|VTM2|SHOOTER
knowledge|culture/folklore/tradition|EEN|VLAANDEREN HERLEEFT
knowledge|architecture/urbanism|EEN|SECRETS OF THE ROYAL PALACES
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 12 JAEN>CORDOBA
knowledge|medecin/health|Canvas|VACCINE, THE INSIDE STORY
fiction|thriller|EEN|KLEM
knowledge|humanities/history|EEN|TEN OORLOG, DE BEVRIJDING VAN VLAANDEREN - WRAAK VANUIT DE LUCHT
entertainment|humour|VTM|...VOOR DUMMIES - HET JAAR 2015
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 11 ANTEQUERA>VALDEPENAS DE JAEN
information|current affair|VTM2|VB. C1 UEFA SCHIFT - SHAKHTAR/MONACO
information|current affair|EEN|WAAR IS MARK?
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 10 ROQUETAS DE MAR>RINCON DE LA VICT
fiction|popular drama/comedy|EEN|GEVOEL VOOR TUMOR
information|special event|EEN|OS. PARALYMPICS OPENINGSCEREMONIE
lifestyle|travel/tourism|EEN|REIZEN WAES, VLAANDEREN
fiction|police|EEN|UNITE 42
knowledge|economy/politics/society affairs|Canvas|DE WERELD VOLGENS XI JINPING
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 2000
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 9 PUERTO-LUMBRERAS>ALTO DE VELEFIQUE
information|current affair|VTM|AXEL OPGELICHT
fiction|popular soap|VTM|FAMILIE, HET GEHEIM VAN RAVEN
knowledge|nature/environment|Canvas|EARTH'S TROPICAL ISLANDS - BORNEO
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/BEERSCHOT
fiction|science fiction|EEN|TERUG NAAR MORGEN
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 8 SANTA POLA>LA MANGA DEL MAR MENOR
fiction|action|VTM|TOMORROW NEVER DIES
fiction|police|EEN|LES PETITS MEURTRES D'AGATHA CHRISTIE
fiction|science fiction|VTM2|STAR WARS, THE LAST JEDI
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 7 GANDIA>BALCON DE ALICANTE
sport|cycling (road)|Canvas|WIELRENNEN. VUELTA - RIT 7 GANDIA>BALCON DE ALICANTE
information|special event|EEN|EXTRA JOURNAAL - BELGISCHE EVACUATIE AFGHANISTAN
information|general news|VTM|NIEUWS 18U VTM
knowledge|nature/environment|Canvas|CLIMATE CHANGE, THE FACTS
knowledge|economy/politics/society affairs|Canvas|DE EEUWIGE OORLOG - AFGHANISTAN TALIBAN, TERREUR OF VERZET?
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 6 REQUENA>ALTO DE LA MONTANA DE CULL
lifestyle|travel/tourism|EEN|MY NEW GREEK LIFE
knowledge|humanities/history|EEN|TEN OORLOG, DE BEVRIJDING VAN VLAANDEREN
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 5 TARANCON>ALBACETE
entertainment|humour|VTM|...VOOR DUMMIES - HET JAAR 2014
fiction|popular drama/comedy|EEN|ALBATROS
knowledge|economy/politics/society affairs|Canvas|WISSEL VAN DE MACHT - DE VLOEDGOLF VAN N-VA
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 4 EL BURGO DE OSMAMOLINA DE ARAGON
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 3 SANTO DOMINGO DE SILOS>ESPINOSA DE
entertainment|variety|VTM|...VOOR DUMMIES - HET JAAR 2013
knowledge|human interest/society|Canvas|WHAT EVER HAPPENED TO ROSEMARY KENNEDY?
information|economy/politics/society affairs|Canvas|DE EUROPESE RAAD, ACHTER DE SCHERMEN - KLIMAAT, TIJD VOOR ACTIE
entertainment|music|EEN|ZOMERHIT 2021
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1999
knowledge|nature/environment|EEN|THE PLAYGROUND OF THE SEALS
sport|cycling (road)|EEN|WIELRENNEN. VUELTA - RIT 2 CALERUEGA. VIII CENTENARIO DE SANT
sport|cycling (road)|EEN|WIELRENNEN. GP. JEF SCHERENS
knowledge|nature/environment|Canvas|EARTH'S TROPICAL ISLANDS - MADAGASCAR
sport|rally|EEN|AUTO. RALLY IEPER
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CE.BRUGGE/ANDERLECHT
knowledge|human interest/society|EEN|HET VARKEN VAN MADONNA
fiction|adventure|VTM|BAYWATCH
sport|cycling (road)|Canvas|WIELRENNEN. VUELTA - RIT 1 BURGOS CATEDRAL VIII CENTENARIO 20
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/LEUVEN
sport|rally|EEN|AUTO. RALLY BK. IEPER (S.)
fiction|popular drama/comedy|Canvas|GOOD BYE, LENIN!
fiction|popular drama/comedy|VTM|TEAM SPIRIT, DE SERIE
knowledge|nature/environment|Canvas|GREAT BARRIER REEF - CORAL SEA
knowledge|humanities/history|EEN|TEN OORLOG, DE BEVRIJDING VAN VLAANDEREN - DE ROES VAN DE BEVRIJDING
entertainment|variety|VTM|...VOOR DUMMIES - HET JAAR 2012
sport|football|VTM2|VB. SUPER BB - CHELSEA/VILLARREAL
sport|football|VTM2|VB. C1 UEFA - SHAKHTAR/GENK
knowledge|human interest/society|Canvas|PRISON - DE VROUWENGEVANGENIS
entertainment|variety|VTM|...VOOR DUMMIES - HET JAAR 2011
knowledge|humanities/history|Canvas|NIKITA CHROESJTSJOV, DE RODE TSAAR
information|current affair|Canvas|AMERICAN INSURRECTION
sport|all sports|EEN|STUDIO TOKIO
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1998
sport|all sports|EEN|VAN HIER TOT IN TOKIO
sport|all sports|EEN|OS. SLUITINGSCEREMONIE
fiction|popular drama/comedy|VTM|GASTON EN LEO IN HONG KONG
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK
fiction|police|EEN|MAIGRET
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - ABDI - KERSTEN - NAERT
sport|handball|EEN|O.S. 2021 HANDBAL D.
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - BORLEE D. - BORLEE K. - COUCKUYT - DOOM
lifestyle|travel/tourism|EEN|REIZEN WAES JAPAN
sport|equestrian sports|EEN|O.S. 2021 PAARDENSPORT. JUMPING - DEVOS - GUERY - WATHELET
knowledge|nature/environment|EEN|DE WILDERNIS HERSTELD
sport|volleyball|EEN|O.S. 2021 VOLLEYBAL H.
sport|basketball|EEN|O.S. 2021 BASKETBAL H.
sport|cycling (track/piste)|EEN|O.S. 2021 WIELRENNEN. BAAN H. - DE KETELE - GHYS
sport|jumping|Canvas|O.S. 2021 PAARDENSPORT. JUMPING - DEVOS - GUERY - WATHELET
sport|cycling (track/piste)|EEN|O.S. 2021 WIELRENNEN. BAAN
sport|hockey|EEN|O.S. 2021 HOCKEY D.
sport|cycling (track/piste)|EEN|O.S. 2021 WIELRENNEN. BAAN D. - D'HOORE - KOPECKY
sport|basketball|EEN|O.S. 2021 BASKETBAL D.
sport|hockey|EEN|O.S. 2021 HOCKEY H. - AUSTRALIE/BELGIE
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - THIAM - VIDTS
sport|cycling (track/piste)|EEN|O.S. 2021 WIELRENNEN. BAAN H.
sport|hockey|EEN|O.S. 2021 HOCKEY (S.) - AUSTRALIE/BELGIE
sport|table tennis|EEN|O.S. 2021 TAFELTENNIS D.
sport|basketball|EEN|O.S. 2021 BASKETBAL D. - JAPAN/BELGIE
sport|jumping|EEN|O.S. 2021 PAARDENSPORT. JUMPING H.
sport|gymnastic|EEN|O.S. 2021 RITMISCHE GYMNASTIEK
sport|football|VTM2|VB. C1 UEFA SCHIFT - GENK/SHAKHTAR
sport|volleyball|EEN|O.S. 2021 VOLLEY H.
sport|gymnastic|EEN|O.S. 2021 RITMISCHE GYMNASTIEK H.
sport|basketball|EEN|O.S. 2021 BASKETBAL D. - CHINA/BELGIE
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK D.
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK (S.)
sport|other racquet sports|EEN|O.S. 2021 BADMINTON H.
sport|gymnastic|EEN|O.S. 2021 RITMISCHE GYMNASTIEK D. - DERWAEL
sport|hockey|EEN|O.S. 2021 HOCKEY H. - BELGIE/SPANJE
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1997
sport|gymnastic|EEN|O.S. 2021 RITMISCHE GYMNASTIEK D.
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK H.
fiction|popular drama/comedy|VTM|PANIEKZAAIERS
sport|tennis|EEN|O.S. 2021 TENNIS H.
sport|swimming|EEN|O.S. 2021 ZWEMMEN
sport|motorcross|EEN|O.S. 2021 MOTORCROSS. MXGP
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - BORLEE D. - BORLEE K. - LAUS - VERVAET
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - BROEDERS - CLAES - COUCKUYT - CRESTAN -
sport|rugby|EEN|O.S. 2021 RUGBY D.
sport|hockey|EEN|O.S. 2021 HOCKEY H. - BELGIE/GROOT-BRITTANNIE
sport|athletics (track/piste)|EEN|O.S. 2021 ATLETIEK - KIMELI
sport|table tennis|EEN|O.S. 2021 TAFELTENNIS H.
sport|basketball|EEN|O.S. 2021 BASKETBAL D. - BELGIE/PUERTO RICO
fiction|popular drama/comedy|EEN|IT COULD HAPPEN TO YOU
sport|cycling (cross)|EEN|O.S. 2021 WIELRENNEN. BMX D.
sport|gymnastic|Canvas|O.S. 2021 RITMISCHE GYMNASTIEK D.
sport|cycling (road)|EEN|O.S. 2021 WIELRENNEN H.
sport|other water sports|EEN|O.S. 2021 ROEIEN
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - SERVIE/BELGIE
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - BELGIE/LETLAND
sport|rugby|EEN|O.S. 2021 RUGBY H.
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3
sport|basketball|EEN|O.S. 2021 BASKETBAL D. - AUSTRALIE/BELGIE
sport|cycling (cross)|EEN|O.S. 2021 MOUNTAINBIKE D.
sport|other water sports|EEN|O.S. 2021 SCHOONSPRINGEN D.
sport|martial arts|EEN|O.S. 2021 JUDO - MATTHIAS CASSE
sport|cycling (cross)|EEN|O.S. 2021 MOUNTAINBIKE
sport|adventure/mountain sports|EEN|O.S. 2021 SKATEBOARDEN D.
sport|hockey|EEN|O.S. 2021 HOCKEY H. - DUITSLAND/BELGIE
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - NEDERLAND/BELGIE
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - BELGIE/CHINA
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1996
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - RUSLAND/BELGIE
sport|basketball|EEN|O.S. 2021 BASKETBAL
fiction|comedy|VTM|ZWARE JONGENS
sport|cycling (road)|EEN|O.S. 2021 WIELRENNEN D.
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - LETLAND/BELGIE
sport|basketball|EEN|O.S. 2021 BASKETBAL 3X3 - BELGIE/JAPAN
fiction|action|VTM|KINGSMAN, THE SECRET SERVICE
fiction|police|Canvas|MALTESE
lifestyle|show business/variety/stars|EEN|THE AMERICAN DREAM XL
information|special event|EEN|OS. OPENINGSCEREMONIE
information|special event|Canvas|OS. OPENINGSCEREMONIE
sport|gymnastic|EEN|TEAM BELGYM, 2021 EEN EVENWICHTSOEFENING
lifestyle|love/dating|EEN|MARRY ME, MARRY MY FAMILY
information|special event|EEN|NATIONALE FEESTDAG 21 JULI
sport|basketball|EEN|ANN WAUTERS, FINAL STOP TOKYO
knowledge|travel/tourism|EEN|DWARS DOOR BELGIE
lifestyle|pets|VTM|...VOOR DUMMIES - DIEREN IN HUIS HEBBEN
knowledge|human interest/society|Canvas|MISDAADDOKTERS - IN HET HOOFD VAN DE DADER
entertainment|talk|EEN|HET HUIS - ELODIE OUEDRAOGO
lifestyle|human interest/society|VTM|ZIJ ZIJN DE HELPENDE HANDEN
lifestyle|home/decorating|EEN|ESCAPE TO THE CHATEAU, THE GREAT OUTDOORS
information|special event|EEN|EXTRA JOURNAAL - NATIONALE ROUWDAG
knowledge|humanities/history|Canvas|KINDEREN VAN HET VERZET
entertainment|talk|EEN|DIE HUIS - NAFI THIAM
lifestyle|leisure/hobby|VTM|...VOOR DUMMIES - FEESTPLEZIER
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 21 CHATOU>PARIS CHAMPS-ELYSEES
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1995
knowledge|humanities/history|Canvas|KINDEREN VAN DE ZON, DE MAYA'S
knowledge|travel/tourism|Canvas|MICHAEL PALIN, TRAVELS OF A LIFETIME
knowledge|human interest/society|Canvas|THREE IDENTICAL STRANGERS
fiction|thriller|PLAY4|RED DRAGON
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 20 LIBOURNE>SAINT-EMILION
knowledge|nature/environment|EEN|WILD TOKYO
entertainment|humour|VTM|ALLEMAAL CHRIS
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGES/ANDERLECHT
information|special event|EEN|VRT NIEUWS LIVE - PERSCONFERENTIE NOODWEER
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 19 MOURENX>LIBOURNE
entertainment|music|EEN|DE TOOTS-SESSIES
fiction|action|Canvas|THE GOOD, THE BAD AND THE UGLY
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 18 PAU>LUZ-ARDIDEN
information|special event|VTM|EXTRA NIEUWS - NOODWEER ZOMER 21
sport|cycling (road)|Canvas|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 18 PAU>LUZ-ARDIDEN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 17 MURET>SAINT-LARY-SOULAN/COL DU PO
lifestyle|cooking/food/drink|VTM|...VOOR DUMMIES - LEKKER ETEN
fiction|psychologic drama/melodrama|Canvas|THE PIANIST
knowledge|human interest/society|Canvas|MISDAADDOKTERS - GETUIGEN VAN LEVEN EN DOOD
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 16 PAS DE LA CASE>SAINT-GAUDENS
lifestyle|home/decorating|EEN|ESCAPE TO THE CHATEAU, RESTORING THE DREAM
fiction|popular drama/comedy|EEN|OP KOT
lifestyle|leisure/hobby|VTM|...VOOR DUMMIES - SPORTIEF SUCCES
knowledge|nature/environment|EEN|A WORLD OF COLOURS - FRANCE IN GREEN
sport|football|EEN|VB. EK. FIN - ITALIE/ENGELAND
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 15 CERET>ANDORRA-LA-VEILLE
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1994
fiction|thriller|VTM2|ONTVOERD
fiction|popular drama/comedy|VTM3|TOSCAANSE BRUILOFT
knowledge|science/geography|Canvas|THE PLANETS - INTO THE DARKNESS, THE OUTER SOLAR SYSTE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 14 CARCASSONNE>QUILLIAN
knowledge|nature/environment|EEN|AFRICA'S WILD ROOMMATES - HOW ANIMALS SHARE BED AND BOARD
fiction|popular drama/comedy|VTM|BRIDGET JONES'S BABY
fiction|comedy|VTM3|TAXI V
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 13 NIMES>CARCASSONNE
fiction|popular drama/comedy|VTM|TEAM SPIRIT
fiction|psychologic drama/melodrama|Canvas|FESTEN
fiction|science fiction|PLAY4|JOHN CARTER
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 12 SAINT-PAUL-TROIS-CHATEAUX>NIMES
knowledge|nature/environment|Canvas|OKAVANGO, RIVER OF DREAMS - INFERNO
sport|football|EEN|VB. EK. 1/2F - ENGELAND/DENEMARKEN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 11 SORGUES>MALAUCENE
lifestyle|human interest/society|VTM|...VOOR DUMMIES - FAMILIAAL GELUK
knowledge|human interest/society|Canvas|MISDAADDOKTERS - OP MISSIE
sport|football|EEN|VB. EK. 1/2F - ITALIE/SPANJE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 10 ALBERTVILLE>VALENCE
knowledge|humanities/history|Canvas|DE GROTE LEUGEN
lifestyle|travel/tourism|VTM|COSTA BELGICA
lifestyle|human interest/society|VTM|...VOOR DUMMIES - ROMANTIEK
fiction|police|EEN|RECHT OP RECHT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 9 CLUSES>TIGNES
fiction|popular drama/comedy|EEN|KAMPIOEN ZIJN BLIJFT PLEZANT
entertainment|music|VTM|TIEN OM TE ZIEN - DE ZOMER VAN 1993
entertainment|classical arts|EEN|SCHONBRUNN CONCERT
knowledge|science/geography|Canvas|THE PLANETS - LIFE BEYOND THE SUN, SATURN
fiction|popular drama/comedy|VTM3|PRETTY WOMAN
knowledge|classical arts|Canvas|MARY BEARD'S SHOCK OF THE NUDE - THE BODY BEAUTIFUL
knowledge|human interest/society|VTM|DE WERELD ROND MET 80-JARIGEN
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 8 OYONNAX>LE GRAND BORNAND
sport|football|EEN|VB. EK. 1/4F - OEKRAINE/ENGELAND
sport|football|Canvas|VB. EK. 1/4F - TSJECHIE/DENEMARKEN
knowledge|nature/environment|EEN|A SONG FOR LOVE, AN APE WITH AN APP
fiction|adventure|VTM|THE ADVENTURES OF TINTIN, THE SECRET OF THE UNICORN
fiction|action|PLAY4|POMPEII
fiction|popular drama/comedy|VTM|LOS FLAMENCOS
sport|football|EEN|VB. EK. 1/4F - BELGIE/ITALIE
sport|football|Canvas|VB. EK. 1/4F - ZWITSERLAND/SPANJE
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 7 VIERZON>LE CREUSOT
sport|cycling (road)|Canvas|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 7 VIERZON>LE CREUSOT
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 6 TOURS>CHATEAUROUX
knowledge|humanities/history|Canvas|HITLER JEUGD, DE LAATSTE VERDEDIGERS
knowledge|nature/environment|Canvas|OKAVANGO, RIVER OF DREAMS - LIMBO
sport|cycling (road)|EEN|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 5 CHANGE>LAVAL ESPACE MAYENNE
entertainment|talk|EEN|HET HUIS - SVEN NYS
information|general news|EEN|EXTRA JOURNAAL - LICHAAM JURGEN CONINGS GEVONDEN
information|general news|VTM|EXTRA NIEUWS - LICHAAM VAN JURGEN CONINGS GEVONDEN
information|general news|VTM|VTM NIEUWS FLASH
information|current affair|Canvas|ROLKRANT
knowledge|human interest/society|Canvas|MISDAADDOKTERS - VAN SNIJTAFEL TOT RECHTBANK
knowledge|human interest/society|Canvas|MISDAADDOKTERS - PLAATS DELICT
knowledge|human interest/society|Canvas|HET ZAAD VAN KARBAAT
knowledge|human interest/society|Canvas|THOMAS MEUNIER, TOT OU TARD
knowledge|humanities/history|Canvas|HITLER JEUGD, HET KINDERLEGER VAN DE NAZI'S
knowledge|humanities/history|Canvas|LUCY WORSLEY'S ROYAL MYTHS & SECRETS - ELIZABETH, THE WARRIOR QUEEN
knowledge|humanities/history|Canvas|DE WERELD VAN DE CHINEZEN
knowledge|humanities/history|Canvas|TRUMP TAKES ON THE WORLD
knowledge|science/geography|Canvas|THE PLANETS - THE GODFATHER, JUPITER
knowledge|science/geography|Canvas|THE PLANETS
knowledge|nature/environment|EEN|INDIA'S WILD KARNATAKA
knowledge|nature/environment|Canvas|NORTH AMERICA WITH SIMON REEVE
knowledge|nature/environment|Canvas|OKAVANGO, RIVER OF DREAMS - PARADISE
knowledge|nature/environment|EEN|JAPAN FROM ABOVE - THE CRADLE OF TRADITIONS
knowledge|nature/environment|EEN|JAPAN FROM ABOVE - JOURNEY TO TOKYO
knowledge|nature/environment|EEN|DE AARDE VANUIT DE HEMEL - TERRA VANDAAG
knowledge|nature/environment|Canvas|GRETA THUNBERG, A YEAR TO CHANGE THE WORLD
knowledge|nature/environment|EEN|UN MONDE SAUVAGE AU COEUR DE L'AUVERGNE
sport|football|EEN|VB. EK. 1/8F - ZWEDEN/OEKRAINE
sport|football|Canvas|VB. EK. 1/8F - ENGELAND/DUITSLAND
sport|football|EEN|VB. EK. 1/8F - FRANKRIJK/ZWITSERLAND
sport|football|Canvas|VB. EK. 1/8F - KROATIE/SPANJE
sport|football|EEN|VB. EK. 1/8F - BELGIE/PORTUGAL
sport|football|Canvas|VB. EK. 1/8F - NEDERLAND/TSJECHIE
sport|football|EEN|VB. EK. 1/8F - ITALIE/OOSTENRIJK
sport|football|Canvas|VB. EK. 1/8F - WALES/DENEMARKEN
sport|football|EEN|VB. EK. SCHIFT - PORTUGAL/FRANKRIJK
sport|football|EEN|VB. EK. SCHIFT - SLOVAKIJE/SPANJE
sport|football|KETNET|VB. EK. SCHIFT - DUITSLAND/HONGARIJE
sport|football|Canvas|VB. EK. SCHIFT - ZWEDEN/POLEN
sport|football|EEN|VB. EK. SCHIFT - TSJECHIE/ENGELAND
sport|football|EEN|VB. EK. SCHIFT - FINLAND/BELGIE
sport|football|EEN|VB. EK. SCHIFT - OEKRAINE/OOSTENRIJK
sport|football|Canvas|VB. EK. SCHIFT - NOORD-MACEDONIE/NEDERLAND
sport|football|EEN|VB. EK. SCHIFT - ITALIE/WALES
sport|football|EEN|VB. EK. SCHIFT - SPANJE/POLEN
sport|football|Canvas|VB. EK. SCHIFT - PORTUGAL/DUITSLAND
sport|football|EEN|VB. EK. SCHIFT - HONGARIJE/FRANKRIJK
sport|football|EEN|VB. EK. SCHIFT - ENGELAND/SCHOTLAND
sport|football|Canvas|VB. EK. SCHIFT - KROATIE/TSJECHIE
sport|football|EEN|VB. EK. SCHIFT - ZWEDEN/SLOVAKIJE
sport|football|EEN|VB. EK. SCHIFT - DENEMARKEN/BELGIE
sport|football|EEN|VB. EK. SCHIFT - NEDERLAND/OOSTENRIJK
sport|football|EEN|VB. EK. SCHIFT - OEKRAINE/NOORD-MACEDONIE
